index,conteudo,CLASSIFICAÇÃO
211,men qual proced abr cont poupanc itau,produto
1322,debit cont val hav pag fatur pag  vez mand dm pra hor simples respond,produto
478,fic impression sistem vc pag fatur ant praz lig dia venc pergunt vc vai pag inacredita parab,marca
369,quant temp dem pra cheg carta,produto
1304,pod ajud irrit pq faz ultim,marca
853,am deu itau ajud cham dm,marca
1166,security offic dat privacy offic pens sobr ped cpf numer carta red soc,marca
1122,caix eletron,produto
265,acab fd,marca
329,cont itau suport gamb fdp futur pens propagand tod parcel menos favorec economic populaca,marca
1588,pod dar opca us digit vez senh eletron smartphon,marca
341,to tent desbloqu carta faz  mes tod vez lig atend fal efetu desbloquei ve continu mesm nhac lix banc lix,produto
705,gost termin pag div itau pag dobr pag emprest,marca
1486,motiv par us cont querid \ digit ter faz tud agenc,produto
1424,n gost dess pov red soc mto simpa pass raiv kkkkk obg pessoal acontec nov vou film possi q cmg,marca
476,obrig entr contat gerent vou amanh agenc resolv,marca
256,deix man consegu resolv obrig,marca
200,la tranquil faz pag ant  hor repent app inform precis cadastr itoken send us agor bel hein,produto
520,ola transfer cont agenc por esquec pass numer cont nov deposit agor deposit cont antig deposit transfer cont atual,produto
843,vc bloque carta pra compr onlin precis desbloqu,produto
625,sac vou sair banc and faz raiv,marca
346,lig dess numer   diz ser itau ligaca cai vc precis fal tant comig,marca
1527,boa tard envi dm dificuldad cont,produto
611,pq porr possi sempr perc um  minut fil dess caix porqu sei us eletron pra faz cois boc caix,marca
1388,tent cadastr carta credit itau black utiliz applepay consig,produto
8,fac desbloqu carta internet bank,produto
869,ta tud resolv vlw itau,marca
803,rt bor agiliz liberaca carto samsung pay googl pay,marca
1314,vem ca  ano pec carta nov poi quebr func dand sempr algum desculp pra troc cont,produto
979,quer entend permit gerent insist quer corrent fac emprest  mil pra aplic poupanc alem outr serv insist comparec agenc divers ligaco log apo recus c,marca
324,crlh banc lix,marca
331,porqu ta dand err hor adicion carta appl pay http t co gdbpz,produto
665,algu boa vontad resolv problem numer disponi dm,marca
934,problem cont pj receb orientaco confirm desd dia  fic lig nad acontec,marca
1383,pox vid quer pod us googl pay carto itau ajud ai nunc ped nad liberagooglepay,marca
541,bast lug tod hor aind deix rec,marca
700,acess tod sit aparec googl http t co fndvtixhdr sim fiz nad facil ir agenc pq aplic dig nad,marca
1236,ta dand sort mud cc poupanc consig faz nad ridicul,produto
77,elogi form geral pra tod agenc itau qual pass tod atend banh concorrenc quis agenc cont pra depos algum pass kkkkkk brinc part parab vez,marca
985,vem ser nu gent clint ser client itau pi dor barrig,marca
584,hoj receb pess trat ag av naz fiq trav port temp pq fivel metal mim seguranc guarded plac caiu velh trick deix fre entr bols cint crucifix etc,marca
657,pagin respost bem entr sit quer consig coloc senh quer ver fatur,produto
922,aguard,marca
182,googl map avis q prox onibu sai h obrig opca fic nega financi pra cas,marca
569,exat motiv convenc app cad vez melhor costum us frequenc parab desenvolv envolv,marca
282,mand vir receb ord pag analis ident fail atendimentohorror,marca
605,fiz ger carta virtual por fisic cheg  mes,produto
1449,lembr aqu desgrac bloqu nov senh carta err senh cad maquin carta dess lix banc ped senh difer sab carta bb dez ano c mesm senh itau to sext senh,produto
56,solicit adiant deposit jog cobranc ali fal seri,marca
1557,ola chip carta cont funcion err mal inser maquin poss ped nov qlq agenc obrig,produto
760,ach lug aceit appl pay loj grand test nad,marca
1255,car tod banc igual estrateg mesm automaca reduca funcionari tent banc gratuit total digit menos custara menos ab srn,marca
38,quer agradec atend prest poi bloquei cont solicit atend red soc der tod suport precis crit post sim elogi obrig,marca
556,respond dm aguard muit pacienc retorn boa soluca,marca
1535,bom appl pay func appl stor tb desist,produto
1367,ag  seman problem realiz deposit hor sistem troc outr impres ag  caix faz deposit,produto
126,pod presente client brind cop,marca
9,ruim car desbloqu carta cheg caix eletron permit mand ir nov coloc biometr aff trabalh temp ir banc tod hor itau banc descompl vid,produto
711,verdad quer carta cheg seman fornec codig rastrei,produto
304,pen q ler histor me troc mens respond abobr,marca
601,gerent cont ta put banc porqu conseg resolv imagin,marca
1009,boa noit equip funca debit vao liber ant acab exclus banc itau,marca
956,bom dia gent h manh funcionari lig oferec chequ espec diss quer ped explicaca fal pq quer deslig car ai banc ne,marca
1048,dev ter opca validaca via web desktop app desktop faz sent ter faz caix eletron,marca
800,tant  quant  problem,marca
1417,tant odi fal telefon  me enrol lig resolv algum problem,produto
1001,previsa liber o titul carta appl pay,marca
1245,itacard app fal eh aind credit carta vou us pass,produto
1371,bom dia abr cont app itauabrecont quant temp dem pra receb carta debit,produto
645,esper segund via carta  dia ning conseg emit nov atend pess,produto
370,agenc tod inclu caix eletron fic lad port girat const apen plac escrit canet agenc sistem,marca
771,admir banc http t co svfgzqlwy,marca
1079,caraa nov biciclet lind,marca
4,fim cont parec seg filosof seguranc burr sistem segur usuari conseg faz nad,marca
875,pq disponibiliz saqu biometr bancoh,marca
964,carta credit lig ont atend resolv,marca
1352,ent por ont resolv dia menos problem ter sid resolv enfim aguard,marca
1374,pouc cois irrit exteri precis us app banc ajud pacienc ta curt hoj,produto
252,bloque carta,produto
121,dia dand desculp noca cobr anuidad tant opco cobr anuidad merc,marca
1325,menos atend bem,marca
563,itau respond diss vao ajud hmmm,marca
634,sempr ar sistem consegu resolv problem agenc,marca
487,problem itau caix faz transferenc kkkkk agor deu,marca
703,vc n n sempr comig gerent n respond tent n peg bod mal serv prec abus http t co cpddlnju,marca
1511,enta just porqu faz tod proced pod resolv problem resolv via banc brasil outr vao permanec apen banc backup,marca
871,ajud amor,marca
791,norm quer atual dad mal entr report msg diz q ating temp acess tud cert agor,produto
1515,faz palhac deix ter acess dinh vc dev espelh set cobranc pq nunc falh porc atend,marca
140,consig abr sinistr pq centr segur func feri,marca
1011,boa noit equip itau opca adicion debit appl pay vai liber ant termin exclus,marca
600,vergonh,marca
30,consegu acess cont internet surg avis acess indisponi cont cas duvid lig so internet,produto
551,envi dm,marca
565,receb email diz poss troc cont personalit vc mand email golp,produto
676,pra comec bem dia drog sit,marca
241,feliz aind h esper pra ouv pod resolv problem burrocrac feitopravc,marca
18,obrig agenc aqu peruib nad fiz contrari destrat pi situaca pass dentr banc fal gerent celul amig,marca
1215,sab iam ajud entend porqu deix reclam paz,marca
434,gost itau card par enx sac lig celul quer vend plan absurd,marca
1541,enta consig us leit tod bolet menos emit banc orig usa papel recicl ver ai,marca
696,bot itau vai ajud nd,marca
70,merd tit vc perd panel,marca
571,poss troc senh eletron qualqu agenc,produto
1089,boa noit enta vou agenc itau deposit algum val cont boc caix val cai cont hor,produto
1228,jur esper respost fic feliz interaca sei pod ajud poss cont acontec,marca
62,vai ter android,marca
978,carta bloque prim tent err senh nenhum outr motiv complet absurd situaca agenc  gerent moniqu,marca
739,appl pay func utiliz credit pass debit tent us dia loj nik pass vergonh poi funcion peg carta http t co apkhtsmxa,produto
192,prefir,marca
125,apo  ano client atenca receb notificaca agenc ira mud quilometr distanc cas trabalh atenca banc particul fic dic perd client bancodobrasilninguemmerec,marca
71,qualqu man obrig rap retorn,marca
1639,func carta black,produto
97,gent nov bik quer and,marca
5,tod vez uso acab desist us pra pag bolet aplic limit sufici sit mand instal aplic desktop mand instal itoken celul mand confirm atm eit burocrac digit,produto
183,transaca aparec wallet merc acus hav confirm pag enta pag carta debit esp h confirm debit carta credit aparent cobr transaca continu,produto
1328,sim coloc senh clic ver sald cont aparec msg sempr us ult versa atual,produto
172,tent contat gerent cont mail seman consig fal fac sei fer precis resolv problem,marca
344,nunc quil tant lig consig obt informaco quer lug nenhum,marca
896,am deu ajud aceit carto junt samsung pay tecnolog  ano brasil agor nad cans esper descas,marca
216,jur tent acredit cois difer atend preocupaca acim tud respeit cois banc precis aprend sim car fal pra nu,marca
608,dinh ta cont ai banc inat deich sac transfer cham roub,produto
1448,merm larg banc feit tant raiv carta cois fuler enfrent fil pra desbloqu carta refaz senh,produto
1375,inclusiv acab reinstal tent us outr red internet g nad http t co bzwesizmqp,produto
1555,fac autor debit automa program,produto
638,cheg samsung pay,marca
517,oi itau adiant faz promoca milh tudoazul transferenc milh pra la impossi dev sistem est indisponi dur dia promoca algu vai resolv ai amanh,marca
848,fiq hor telefon atend ning consegu resolv problem,marca
866,porqu nunc dedic dedic empr recent sab outr cheg prim pal der min pen empr nunc admit fazeroqu,marca
362,carf livr banc pag  bi bilho impost aposent q vao quebr pal,marca
641,ta fal q precis itoken precis ir la agenc pra cri cadastr,produto
72,boa noit agor faz necessari algu disponibiliz mail client faz contat respost min client esper deix rol,marca
961,oi ajud tent faz compr indev nom us carta hipercard carta pod verific exist carta nom uso indev,produto
1133,sindicat acus itau demit funcionari ser gay http t co bfhxbenu via,marca
430,quer sab vai volt sistem agenc parqu shopping bel  dia centen usuari pod sac faz nenhum serv,marca
1198,aprend http t co vwrwlevq,marca
277,esper q td vc morr q td vidrac estour tod caix eletron explod q filh lempr,marca
1306,tud nov ident cpf comprov residenc comprov rend auton por pai mae irm tod cont itau inclusiv pai desembarg tribun jus,produto
1100,bik hin pod acab,marca
1235,quer diz melhor vc abrac banc ruim,marca
404,sab ferr arrepend mat mort,marca
133,empreg,marca
170,bom dia desd ont tent pag doc  dand err consegu fal centr hoj feri enfim esper venh cobr jur mult,produto
366,vam ter pag gp aind precis us pra banc conveni http t co blkprwgsd,marca
839,resolv senh q agor ped pra mud cont pra outr agenc precis sab quant temp dem pra mand numer nov cont tbm salari pod cheg cont antig,produto
41,enta precis sab revert pont resgat program surpreend pq emit carta credit alug carr pontuaca pq carta precis est nom  dia us vouch,marca
618,nunc vincul carto deix pass raiv  credit outr debit citesuareclamaca,produto
1148,rt dar adeu cont banc respeit orientaca sex pq ter client http t,marca
13,apo  ano corrent receb comunic cont transfer agenc quilometr cas trabalh fic dic outr banc particul perd client bancodobrasilninguemmerec http t co qtuupm,marca
581,ai diss vigil dev ser par poi trein aprend escut dev reclam gerent fiz ach entend stres perig expost agenc,marca
163,cont corr receb mail sobr migraca nov dad mud residenc pouc temp gost sab consig alter end telefon resolv propri cit,produto
222,sort pq aqu lig oferec produt,marca
1097,deu,marca
1365,pi cois fiz abr cont,marca
1553, dia praz norm pag bolet qualqu consegu  ano atr dar baix hor pag caix eletron melhor banc pal aind long ser bom conseg,produto
1478,incri vc trabalh empr corret vem banc gost cham atenca atrapalh vend exempl atitud muit outr fech cont torn client,marca
744,conexa internet send to conect sim sit fal possi acess sit,marca
221,hey comerc nov bikeitau fic mto bom esquec fal serv deix ser atra inclus nov prec parab estrag tud issomudaomund,marca
728,carta debit credit poss cancel soment opca credit,produto
392,comec chat vi,marca
40,vao liber samsung pay,marca
1031,caramb uso mesm senh ano nad vc bloque cont senh err app cert q err,produto
316,entend dai receb carta dev ir agenc,produto
799,sint itau faz client utiliz caix long pi atend bancari menos cidad cad vez precis ir itau desesper desan entr la pq perd temp esp,marca
1018,carta cont conjunt pod ser renov presenc autorizaca titul,produto
293,tao bost transferenc padra caix eletron doc ted pqp hein  gent fic quas  dia esper transferenc mai alegr dess vid cancel cont itau,marca
1412,cancel feliz,marca
958,banc abr  funcionari sup util abr horari,marca
525,abr cont doi banc agor duvid terri permanec,marca
1387,app abr cont ta funcion,produto
904,chequ espec nunc solicit fic la disponi pass acid n chequ espec n iri pass notific cobr pass dia tarif r   independ,produto
628,ta demal fal tranquil,marca
1303,melhor banc obrig rs,marca
75,atend citiphon excel pass pra fic merd to pra ver,marca
809,obrig rapid respost,marca
137,goolg pay aceit carto itau,marca
1105,sobr atend banc dev ach client bipol amo odei temp pod,marca
382,fiz paz deix ir dorm aflit lig resolv problem obrig,marca
1040,boa tard tent cadastr carta debit poupanc appl pay por aceit faz agor,produto
1155,rt ganh meg descont decisa stj conden pag r  milho real aca civil publ po,marca
407,quer negoci mai esper bom acord,marca
398,particul gost tecn seleca fic faz propagand apes confi tit tud ach bacan ness epoc cop foc sei funca patrocin t,marca
893,resolv obrig,marca
1319,esper carta faz ano quas agenc cidad vi notific nad lig pra ver consig algum atend sequ atend ligaca termin ant diss bait cont,produto
1290,nov laranj itau protagon campanh banc http t co uniasih http t co zbttgsqcv,marca
1362,ach precis ted fiz outr banc pra cont referenci aind entr cont dev algum problem cont destin,produto
1157,rt lig faz cobranc indev escut merec deslig car parab ein,produto
254,obrig caus informaco verac pass transtorn desnecessari,marca
112,trist itau  ano nunc nad bom repens estrateg fideliz client agenc pedr alde ineficaz,marca
1229,infeliz titul div vou ped titul entr contat obv vc vao fal leng leng agenc enfim gent conhec direit vam exerc lo form possi,produto
1297,consig acess cont app desd ont algum instabil,produto
693,carta credit send provisori consig desbloqu app,produto
365,rt mulh sequestr estupr obrig sac dinh banc q cont ped ress,marca
1118,pag fatur me marc dua vez fac reav,produto
1393,vou fech cont itau banc patrocin seleca cbf merec ter cont personalit,marca
736,ola digit senh pag bolet carta ok err vez fiz operaca nov cliq continu are ond coloc senh aplic diret senh err ter digit repet el,produto
587,acab ser atend agenc obrigadooo,marca
317,cois obrig client deix bols armari hoj funcion pra sac dinh absurd falt respeit temp client abr port caix dur dia explicaca,marca
1,vou avis tal explic pro client menos formaca entend financ produt descont cont disponh particip don itau banc feit pesso,produto
1050,bco fdp ladra,marca
1577,liberara carto adic uso appl pay,marca
27,entr banc madrug pra sac dinh porr comec toc siren parec tav assalt banc,marca
1581,a via carta n cheg to mt ansi,produto
215,vam melhor serv agenc cas show nenhum caix eletron funcion sort outr agenc prox,marca
283,quer sab cois pq banc sempr torment sempr lot,marca
504,atend consegu resolv situaca obrig prest atend aqu sempr melhor,marca
933,faz h to tent pag cont via app sai tel senh carta,produto
598,quer informaca simpl impossi fal total desrespeit client,marca
95,cert vez receb ligaca ai gerent pass mail lembr questa mand mail quas ano to esper respost obrig gerent agenc ,marca
643,to tent pag bolet,produto
1159,rt itau fez cobranc indev cont empr deposit salari agenc trat mal pel,produto
193,insatisfeit vou encerr cont pj bb quer abr cont itau favor indic agenc asa nort brasil segund vou procur agenc abr cont empr,marca
267,outubr pass avis q    pro est disponi pra tod carto pq algum funcion agor embromation society http t co pvpjfnamz,marca
33,precis produz comerc bik to cans ver comerc fod carr cheg vez magrel http t co wvgadnkm,marca
1174,mort respond kkkkkk,marca
694,gent amo pqp vener banc,marca
989,ei compr carta fiz tent bloqu carta app consegu,produto
1251,obrig ped pra entreg cas taref dificil banc ano conseg,marca
1033,vergonh ter sair cas ir banc pra valid porc itoken dess,marca
1508,absurd anuidad quer cobr x    fic maluc send assim pag cont part carta sicoob bande vis tbm,marca
57,rt cad absurd membr grup report bom invest divulgaca inf,marca
521,car dar ris banc cancel cont poru diz ouv movimentaca movimentaca dia cancel odi,marca
186, mens respond nenhum apresent soluca real problem hoj complet  dia pod realiz transaco us guardia h ubuntu  ,marca
1610,quer faz invest rend simpl ped pra atual patrimoni fac,produto
580,dev registr boletim ocorrenc discriminaca banc gerent agenc ach padra norm exist algum padra vest pass fer brasil habit fre faz confia algum motiv,marca
1305,parec caix,marca
752,ach cumul precis celul pra faz transaca internet,marca
1450,esper est faz tweet ced demal rs obrig ser unic abr cont pj form rap cust atend bom evit car dur acontec cert banc,marca
879,rt banc lind facil rap propagand abr cont hoj vi pra decepca,marca
1368,milho bilho propagand ter nenhum caix fac deposit parab,marca
531,rt cheg samsung pay,marca
589,consig troc aqu pra cont universit,produto
237,quer tit itau seleca brasil tom cu,marca
1489,to surt pq car fez transferenc sab agor caiu cont explic,produto
442,olh sit iphon   vist   praz corrent  descont vai mesm pra compr calcul val   dar descont kkkk pra entend ta dificil,marca
1259,ok agenc poi extint,produto
153,alo itau ag adamantin caix ar agor temp retorn aqu pag desloc,marca
120,adiant nad instal app diz instal app faz transaca,produto
789,quer pag fatur carta credit mand mim bolet,marca
886,val ressalt pi atend regia ning ajud nad mud banc agu,marca
141,lix deu,marca
1600,assim coloc extrat mens consolid dem pra carreg carreg diz ta disponi pra tent nov um minut faz temp to tent peg,produto
1520,acredit personnalit deix resgat gran feri bancari dur seman fail,produto
1172,to livreee ult mens apo cancel carta sensaca maravilh,marca
327,fiz doc ont   caix eletron agor caiu cont,produto
1112,msg app celul notebook aparec bota pra conclu pag,produto
683,tom cha cade telefon agor vou tom outr internet,marca
355,bom dia sei diz impact propost lembr ter sid aprov,marca
567,rapaz tud vc bot mao fic complic desd vc assum cit pag fatur contat fic pess nad pessoal gent gost assim obrig import lt ,marca
268,atend pess,marca
692,bel atend der atrav atend hein problem carta viag internac atend qu fiqu brav deslig car pra pag tax alt,marca
1348,tav dand err tod hor consegu pag fatur dav err fech app  tent,produto
639,respond dm esper resolv situaca,marca
234,agenc rebouc curitib quer sab onqu nunc vi fil caix demor tant assim,marca
1302,ex client precis declaraca ir fac,produto
659,adiant deposit terc vez autoriz debit nenhum,produto
1289,fac pra sab assinat banc pra faz igual chequ,produto
812,faz portabil vai arrepend,marca
396,quart tent ferr tent atend  canal funcion desist,marca
474,ajud negoci descont cont entend doq trat,produto
439,grand dev fic put pens tarif tud http t co xlrcepop,marca
1006,adorei comerc music that s good dev sai danc,marca
655,rt itau vai tom http t co jogmvj,marca
1574,ador inici envi carta braill unic part ruim falt seman viaj nom err pox vai dar temp,marca
