index,conteudo,CLASSIFICAÇÃO
1625,ol cont corr pag tax pacot mens pag anuidad carta credit poss mud pra carta debit ter tax aind vou ter tax cont ne pq tv assinat dei,produto
714,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk comig fdp cobr,marca
441,ach oferec emprest qu inclusiv porqu descont terc idad mae  ano enfim vari numer difer sp telemarketing maneir pouc,marca
820,aaa volt kkkk obrig itau vc top menos qnd deix funcion grav q sofr abort sair expedi,marca
228,desbloque twitt segu conseg ver mens,marca
128,am lt  cert ric parc ame car atend form relacion client pud escolh cor carta universitari ach sensac muitiss obrig,marca
1238,inacredita quant app b s t aaaaaaa,marca
1231,porqu aceit negociaca div pod ajud aqu pud ajud agenc est entr contat procon reclam aqu http t co oxasexszv sab la conseg ajud,produto
354,itaucard dev disponibil carta virtual tod carto tent tod jeit agenc itau gerent soub explic pq cont corr direit carta virtual,marca
545,q drog heim fal serv brasil lig avis iri mand bolet correi soment aplic diss entend problem repent comec vir mensalidad,produto
188,alo sit vc ta propri bug pra faz nad pagin fic branc arrum http t co mkesftutf,marca
39,precis faz deposit descobr term aceit deposit dia doming result privatiz banc funcion dev faz chegadepagarcar,marca
412,cont biometr corr p faz homiiii pq carta clon ded rsr,marca
272,obrig com  real cont q unic  real q pra viv vc fod,marca
946,blz vou ver pag banc bom dia val ajud,marca
926,hoj aplic ta bost consig faz nad bom dia pra faz avaliaca app stor,marca
1397,unic form ajud ajud tod adicion sistem blockchain serv doc ted junt bc outr banc faz sent plen digit banc diz digit ter celer analog xd,marca
881,comput notebook possi realiz transferenc itoken instal celul,produto
1106,muit reclamaco quas arrepend ter torn client,marca
1034,respond dm,marca
1225,compet pra ver pi,marca
1340,comec dia estress,marca
1614,bom sit nov funcion consegu acess inform rend ir impression,produto
579,val lt ,marca
911,oi zinh respond duvid temp compensaca chequ deposit caix automa gent fic fil pra depos caix ser human,produto
990,gerent lig comunid deposit chequ celul test func ach problem cel versa app googl play descobr var pesso relat problem desd marc lib fun,produto
753,peg tramp temporari seguint obje ir pra bh ir pra argentin prim realiz sucess segund realiz motiv ser banc filh put,marca
1317,tent volt ser client itau tant burocrac desist cont la desd  ped pass cont uniclas comum muit burocrac desc fech cont volt quas imp,marca
1099,pod dar mei entr igual outr banc ai pq pag int to condico quer assist ving,marca
1116,qdo esquec la vem comerc nov everybody it s good thing everybody want good thing music eh grud cc applepay,marca
1091,sab caminhon black mirr not baixiss ta pouc fud pra tud precis fdp hoj ganh  populaca brasil perd,marca
1635,fac pra ach numer cont carta provisori faz seman consig acess app cont corr,produto
623,itau mand dm praz verific,marca
1063,aplic ajud pac q ir banc amanh,marca
463,to problem grav set segur pra imovel beir acion procon,produto
483,aind continu dand justific sent cobr anuidad abus,marca
913,banc lind facil rap propagand abr cont hoj vi pra decepca,marca
599, minut lig agenc  abr h ning atend lig pro numer geral itau consig fal ning pq senh acess internet incompetenc sempr banc,marca
1190,legal appl pay vam numer celul brasil io   android   justific dar suport googl pay cheg ant sistem domin absolut merc,marca
1140,puls consig,produto
1162,rt alo fiz reclamaca contr cobranc indev aval emerg feit der resp,produto
1055,ont consegu us prim vez pay http t co gpanaetd,marca
1310,moment pq dificuldad temp int enquant itau glor divin conscienc pra termin relaca,marca
1115,vez consig maior cas reconhec ir senh,produto
570,grac consegu pag faculdad dia dat ont pag mult obrig http t co usnnbljy,marca
512,lev pra ver jog seleca cop,marca
617,obrig itau,marca
1364,ai vc descobr  dia err aind qu corrig obrig estrag viag pens melhor prox ant solic carta,marca
907,lib googl pay prfv,marca
405,distribu  lucr livr infantil bel inici,marca
1617,fiz resgat capitalizaca hoj caiu cont,produto
642,consegu tir paz ness manh  caix eletron nenhum funcion decent quer faz dua transferenc impossi perd temp,produto
1556,pod pag googl pay,marca
440,quer sab pq tau disponibiliz carta virtual tod carto credit itaucard carta virtual disponibil pra cont itau sacan cont carta itaucard dev ser tod cli,marca
388,porqu fiz versa android tod mund burgues ter iphon,marca
702,bom dia gost faz reclamaca,marca
335,ach iam ajud fic mud pouc vou fal la menos appl pay,marca
270,pra avis q enquant vc disponibiliz vou us outr carto q funcion nel poi quer viv lenc document smartphon viu,marca
1519,problem ond list transaco fatur carta bat total seg acontec cans report problem agor algu lig bem rud sinal fic fal par ach iri ach norm norm amador,produto
1351,talv problem resgat produt sempr pres us cupom ofert hom centr itaucard ning sab cupom nenhum centr itau consig digit agenc cont senh diz es,produto
199,dua seman aguard verificaca pro applepay consig acab pro atend itaucard atend mal prepar soub explic motiv err verificaca,marca
532,engrac diss agor don boa part cobr tarif envi dinh corre exist limit absurd itau trist poi banc gost corrent temp,marca
279,mes tent faz carta credit n aprov ach q algum sinal deu kkkk,produto
1341,empr ond trabalh mud banc ai cancel itau,marca
58,sonh tod suport empr twitt igual resolv cois aqu fic respost automa mand pra outr canal ped brasil,marca
1313,pod sim quer volt cont itau agenc  agenc coloc dificuldad,produto
176,bem agor volt norm numer agenc cont tao fot carta btw vc ach dev mand algum avis pro client vao mex sistem pra evit constrang,marca
1506,uso cont impossi peg inform internet,produto
0,grat itau recl fic fil,marca
1109,pi banc antig tal nasc tecnolog mesm respost padra itau deu hoj nubank dad mes,marca
1192,tent peg bik vc doming liber pag debit carta credit amig precis val estorn carta http t co awrggqeysd,produto
345,pau cu seleca brasil,marca
328,incri impression atend pouc telefon consegu resolv problem form rap efici parab,marca
271,ai deu  hor banc fech sext feir fal problem sistem val sext,marca
741,aproveit fal aplic ta merd favor aguent pesso reclam sobr lad,marca
704,ness renegociaco ferr jur sobr jur falt pouc pra pag,marca
646,mae agenc la inform q trat golp numer itau precis deix cpf mostr msg q tbm receb celul pessoal agenc aind efici,marca
1003,parc samsung pay vai exist vou ter troc banc pra us,marca
371,frustr quant vez sistem web mobil fic indisponi bor mant min sla,marca
1058,chate parc applepay ant send prim ser disponibil brasil,marca
1189,quant temp dem pra cair tef cont itau,produto
308,rt maravilh delat grup mid pra frent divert ver et caterv s,marca
257,anj cancel carta vc n ajud pod atrapalh agor n precis,marca
384,precis app tablet desd q tir light   acompanh cont,marca
898,sistem burr vi client ped x segund via carta pra curitib env x porc carta pra bel,marca
210,brasil quer carta credit nunc mint pra mim diz credit vdd n nad ta feliz,marca
1395,pod sim pod ajud melhor plataform horri us deu tud travadoooooo tav fal assist tav ajud plataform abr chat odi to,marca
36,elefant sal http t co zlpzjzg compr isenco mult carf vai mud tod brasil dev fech cont ness banc,marca
540,porr continu telefon put par,marca
102,vou fech cont ness banc,marca
566,pens comig brinc,marca
1524,tent  maquin  aparec err leit chip,produto
113,norm entr aqu divulg promoco cois boa nest feri ness red soc reclam debit val indev cont empr vou pod reclam terc feir aind pass constrang compr mater escritori,produto
1295,qual document precis abr cont banc,produto
1451,desd sext carta consegu sac dinh hoj perd horari almoc int pra consegu resolv mand carta dur seman favor,produto
842,atend client pess precis informaco carta tav trav car pess atend enfim nunc gost itau dess atend ruim quer,marca
660,banc cobr tarif inform contrat manutenca cont,produto
1293,vam trabalh direit atend cumpr vc promet http t co pkpvcyc,marca
1292,vergonh melhor banc pal hoj serv agoniz vou tir cont dess merd,marca
997,vai ser liber pro usuari samsung pay acab contrat appl cert err,marca
1035,man consig acess sit nad ta sacan,produto
880,serv porc quer faz transferenc app banc brasil dao opca digit agenc vi reclam aqu merd  ano aind arrum,marca
1107,compr cancel carta credit dinh volt form credit vai pro sald debit,produto
164,help to duvid refer migraca carta cit p itau,produto
834,ajud ai quas hor nad atend descumpr legislaca form bem descar http t co cjwrhvek,marca
713,consult agor app const nenhum invest,produto
544,blz gal obrig vou mand sp agor duvid fac torn personalit,produto
334,tent pag cont app http t co ewhdzqnhc,marca
1103,ola gost sab rep aind post bik rio porqu vi tir antig aind coloc nov diminu quant post bik,marca
1474,novidad boa prox vez serv metad appl pay releg segund titul cont corr client segund cl mesm direit prim titul,marca
895,ei ajud ai,marca
320,man odi dess ura,marca
559,pod ter algum parc samsung pay tbm ne,marca
160,hoj venh agradec ajud econom poi ness feri nad melhor fic cas descans pra comemor aniversari segund feir vc vai sac cheg term descobr cont bloque obrig,produto
921,esper serv peg fog inden tod client porqu put par,marca
1213,nunc vi nenhum serv q diz digit pra resolv cois telefon,marca
631,err tant aplic telefon quant comput tent nov consegu obrig atenca,produto
661,dia  vc envi msg avis problem sext  dia q dev ter sid tecnolog vc resolv funcion,marca
285,porr  minut ser atend agenc consideraca zer client,marca
443,acontec algum problem aplic banc serv pag problem tre bolet simples aceit pag leit codig barr digit hav,marca
811,caramb vam la pag cont carta sab vc pod perceb log ant sair nitero pra pod compr ssd hoj aind vai vai gog,produto
1316,ped segund via carta debit ness merd atend telefon,produto
19,adiant entr appl pay faz trein loj ning sab oper maquin proced pag via celul bolaf pod demit diret merc marketing tod,marca
498,gerent lig oferec emprest  mil final pag  mil x  vai lasc rapaz jur pra desgrac,marca
996,corrupca compr sentenc ministr certiss stf tud http t co flsscjr,marca
863,ped ajud dm,marca
560,consig acess cont app itau execut dentr virtual machin,produto
783,consig transf pont program azul err tod hor sit apo digit numer carta senh vej imag abaix http t co czfzxe,produto
464,com r   cont fatur carta credit pag,produto
850,fil gigant us caix eletron  equip funcion sistem lent lourenc mg http t co ydcgonqmw,marca
1509,part doer menos inform rend,produto
1378,propagand sobr appl pay eh bem ridicul applepay itau propagandafail,marca
306,to boa vc liber ped pen pod peg pag parcel u u,marca
763,to trist decepcion cancel cont hoj,marca
273,unic reclamaco dem corrent fac tud aplic descont chequ caix pouc vez vou banc sempr dem,marca
1436,precis ajud,produto
1589,solic carta viag pre pag cotaca iof mai val final var cas cambi pod explic func,produto
1244,fac pra identific tranferenc feit dezembr app sit algum opca q poss pesquis cont,produto
414,app mud vari pi pgt program descont agor banc mult deu to tao nerv barrig doi quer chor raivaaa,marca
1232,amanh vou agenc relax ai,produto
588,fac mens err carta black fodas vc entub pod aind ser us appl pay,produto
1497,fat tent onlin ir agenc digitau,produto
1465,nunc fac carta apen pra cobr anuidad altiss cobr ai vc ped pra aument pouc limit esper doi mes kkk pra cancel bost,marca
1158,rt owww faz cobranc indev pl,produto
1234,entr li porqu arromb deix faz transferenc propri dinh vou ter mat lo,produto
577,quer registr reclamaca tod caix eletron agenc  rj disponi not  real absurd precis ser coloc caix not inferi alo,produto
311,amig precis sempr fic mao prim ult obrig d,marca
1404,pass muit muit raiv,marca
1333,agenc resolv por vou cheg atras trabalh obrig,marca
1108,poi tbm carta debit outr empr final tud val pen tranfer pra ter googl pay fal burocrac pra tranfer,marca
637,pod ter poli empr avis gent abr cont vai cadastr senh eletron pq pratic aplic min cois precis ir agenc nov,marca
1430,possu consorci cancel necessit sab termin grup,produto
432,favor agiliz test pag via samsung pay,marca
1408,prim atrav red card perturb use maquin carto descadastr avis previ aleg perfil empr interess aind bloque vend desrespeit sacan faltadee,produto
1607,enta descont pra corrent itau sobr val  ,produto
1271,lig tent tod canal nunc obtenh sucess descas,produto
1051,pod disponibil samsung pay faz ano serv disponi brasil banc digit aind opca coloc carto aplic http t co xmhynrnx,marca
1032,bor agiliz liberaca carto samsung pay googl pay,marca
1101,exat pag quer me pass venc me vem perd serv credit pag prox fatur,produto
10,consig configur carta credit poi encaminh pro app aceit carta vincul algum cont,produto
595,recent dinh atras aind receb,produto
1211,produt entreg falh dua vez acab ped estorn compr feit loj fisic aguard,produto
1435,tud bem prox vez vou film lev banc hor desbloqu la pod ver senh confer to coloc err,produto
969,atualiz app agor otim obrig,marca
903,trein estabelec muit sab acab utiliz carta,marca
841,tent aument limit credit sit disponi agenc diret gerent consig,produto
1113,cont pataqu itaucard elegi applepay pi,produto
66,boa noit fiz cont fiz trabalh enta descont nad porqu contrat diss ser descont,produto
263,titul cadastr previsa adicion funcion,produto
988,perd carta atend geni emit  carto agenc cont err,marca
225,po amig segund via carta ta bloque segund via ident ta pra cheg aind pq ce sab brasil ne pisc roub ai pag caiu feriada ta ai pra sac cash,produto
445,multipl ped dia   diss q ia receb sm pra ver ond iri receb receb lig sext pass inform entreg cas ont cheg amanh faz dua seman,produto
1242,applepay funcion exclus carto credit maquin itau pass olh maquin nov,marca
1121,hahahahahahahahahahahahahahahaahahahahahahahahahahahahahahhah client santand est acontec bj,marca
807,rt parab esquec usuari samsung pay viu dar preferenc appl pay cheg agor esquec,marca
802,rt pod disponibil samsung pay faz ano serv disponi brasil banc,marca
1046,ent recadastr necessari seguranc roub furt perd smartphon consig faz transaco via app desktop web enta mei client tecnic logic dev pod reinstal itoken,produto
1560,ai entr internet banking pag fatur clic pag pag aguard  dia banc identific pag propri produt propri serv diz sistem bancari modern,marca
356,ola consig pq ped itok fiz tud consig pq qd tent mand abr cont itau cont corr itau carta temp unibanc bom pod ger carta virtual evit fraud clon var,produto
37,otim vide demor pro tbm aceit googl play,marca
34,cancel caus anuidad fiz reativ promess reav anuidad reativ volt cobr conclusa cancel nov dig carta itau nunc aind corrent p,marca
780,dev consegu trabalh quer pag aprove peg carta credit fac ajud pleas,produto
315,ruim ruim desconsid maravilh saqu pag alo insp pra ajud,marca
1545,reclamaca vc cit exempl app func contrari app concorr conseg ler codig barr,marca
947,ludibri ach q samsung pay entr,marca
708,precis fal canal norm telefon ta dand rol dm,produto
734,tent faz transferenc pag doi acontec err mand dad dm,produto
845,diss agenc max pesso dentr  entr soment  fil desafor fic sol esper pra entr,marca
758,agor esper respost mail envi sac relaca problem resgat sit lix fidel http t co fkqqljebhz,produto
231,sortud gerent faz crit ai http t co bzqbxfu,marca
847,kkkkkkkk scrr resolv telefon mt obrig s,marca
403,hoj receb carta substituica antig venc ano correspondenc satisfaca,marca
844,precis sab sonegaca atr serv pesso jurid preferenc grand port,marca
1350,digit rap diz incomplet digit devag digit devag ura cort mei digitaca mei desist,produto
533,fal bot aparec,marca
501,ta tir ire abr cont pra pass raiv moral,marca
902,respond cois aqu sei chequ eh descont cont extrat norm msm,produto
303,limitiv pre aprov pra carta credit pq sempr receb propost carta,marca
161,bom dia quant emprest pessoal permit faz ter pag prim parcel aind,produto
1142,diminu jur am,marca
868,centr relacion parec ader tecnolog marc banc peloamorded par lig ach polic caminh,marca
413,cadastr carta aparec mens carta itau,produto
656,itau vai tom http t co jogmvj,marca
983,itoken merd hoj dia func fiq temp consegu pag cois caus diss aplic atual vez influenc dev,marca
821,pox amig basic aplic func qnd qu agor volt obrig,marca
150,quer cancel carta hj atend parec,marca
1060,quer sab porqu liber hoj,marca
32,rt aind otari quer vot part sor soci new kid,marca
1095,send vantaj pag anuidad carta limit baix comport consum mens precis us carta me enquant carta anuidad limit x mai,marca
1146,cadastr carto aguard h aguard analis confirmaca dad atend telefon ning sab acontec agu algum sugesta,produto
1488,confi ness segur onlin recom itau nunc deix mao,marca
51,ment moral pra auxili voss inter coloc pesso simpl redom div dad tom vergonh vc fic salari  ano td me tom tent put,marca
1078,dess fur pag agend dess me pess hor pra ver propagand tv sobr pag app,marca
822,acontec atend carto  vez lig cheg vez ser atend itaucard ligaca encerr absurd,produto
793,caix eletron desbloquei agenc,produto
1334,bom dia tir duvid banklin mud enderec aparec http t co xfdzyjsz,produto
546,cancel entreg extrat consolid via correi serv cancel desd fever  receb extrat esquec cancel cobranc serv real  centav me favor jogu problem p,produto
248,fac pra desbloqu carta nov cheg pra faz app,produto
1612,precis help mig,produto
970,obrig aguard enquant us,marca
1077,hoj banc compatibil problem hoj relaca cobranc indev esper ter cont pag diret app mai pratic,marca
980,to consegu atual io    http t co hnzohpb,produto
1165,rt ped segund via carta debit ness merd atend telefon,produto
1446,esclarec questo var aind poss deix faz portabil pra outr banc pud pod ter ctz q feit,marca
